No._Base	ToneName_freemidi	MSB	LSB	PC_0Origin	Category	Bank	PC	No.	ToneName	remove_left1	head_suff
18	$Organ 2	0	2	17	Organ	SC-88	18	018	'Organ 2	Organ 2	'
018+	$Organ 201	1	2	17	Organ	SC-88	18	018+	'Organ 201	Organ 201	'
018+	$DetunedOr.2	8	2	17	Organ	SC-88	18	018+	'DetunedOr.2	DetunedOr.2	'
018+	$Organ 5	32	2	17	Organ	SC-88	18	018+	'Organ 5	Organ 5	'
19	$Organ 3	0	2	18	Organ	SC-88	19	019	'Organ 3	Organ 3	'
019+	$Rotary Org.	8	2	18	Organ	SC-88	19	019+	'Rotary Org.	Rotary Org.	'
019+	$RotaryOrg.S	16	2	18	Organ	SC-88	19	019+	'RotaryOrg.S	RotaryOrg.S	'
019+	$RotaryOrg.F	24	2	18	Organ	SC-88	19	019+	'RotaryOrg.F	RotaryOrg.F	'
20	$ChurchOrg.1	0	2	19	Organ	SC-88	20	020	'ChurchOrg.1	ChurchOrg.1	'
020+	$ChurchOrg.2	8	2	19	Organ	SC-88	20	020+	'ChurchOrg.2	ChurchOrg.2	'
020+	$ChurchOrg.3	16	2	19	Organ	SC-88	20	020+	'ChurchOrg.3	ChurchOrg.3	'
020+	$Organ Flute	24	2	19	Organ	SC-88	20	020+	'Organ Flute	Organ Flute	'
020+	$Trem.Flute	32	2	19	Organ	SC-88	20	020+	'Trem.Flute	Trem.Flute	'
21	$Reed Organ	0	2	20	Organ	SC-88	21	021	'Reed Organ	Reed Organ	'
22	$AccordionFr	0	2	21	Organ	SC-88	22	022	'AccordionFr	AccordionFr	'
022+	$AccordionIt	8	2	21	Organ	SC-88	22	022+	'AccordionIt	AccordionIt	'
23	$Harmonica	0	2	22	Organ	SC-88	23	023	'Harmonica	Harmonica	'
023+	$Harmonica 2	1	2	22	Organ	SC-88	23	023+	'Harmonica 2	Harmonica 2	'
24	$Bandoneon	0	2	23	Organ	SC-88	24	024	'Bandoneon	Bandoneon	'
17	*Organ 1	0	1	16	Organ	SC-55	17	017	"Organ 1	Organ 1	"
017+	*Detuned Or1	8	1	16	Organ	SC-55	17	017+	"Detuned Or1	Detuned Or1	"
017+	*60's Organ1	16	1	16	Organ	SC-55	17	017+	"60's Organ1	60's Organ1	"
017+	*Organ 4	32	1	16	Organ	SC-55	17	017+	"Organ 4	Organ 4	"
18	*Organ 2	0	1	17	Organ	SC-55	18	018	"Organ 2	Organ 2	"
018+	*Detuned Or2	8	1	17	Organ	SC-55	18	018+	"Detuned Or2	Detuned Or2	"
018+	*Organ 5	32	1	17	Organ	SC-55	18	018+	"Organ 5	Organ 5	"
19	*Organ 3	0	1	18	Organ	SC-55	19	019	"Organ 3	Organ 3	"
20	*Church Org1	0	1	19	Organ	SC-55	20	020	"Church Org1	Church Org1	"
